	ensembl_gene_id	external_gene_id
156	ENSMUSG00000094284	Vmn1r112
157	ENSMUSG00000051427	Ccdc157
158	ENSMUSG00000097317	Gm17281
159	ENSMUSG00000058976	Usp17lc
160	ENSMUSG00000024027	Glp1r
161	ENSMUSG00000072066	6720489N17Rik
162	ENSMUSG00000097868	A330069E16Rik
163	ENSMUSG00000095190	Gm10668
164	ENSMUSG00000058762	Btnl6
165	ENSMUSG00000095903	Olfr968
166	ENSMUSG00000097843	Gm26755
167	ENSMUSG00000050815	Olfr1441
168	ENSMUSG00000028329	Xpa
169	ENSMUSG00000083780	Gm12728
170	ENSMUSG00000074865	Zfp934
171	ENSMUSG00000028737	Aldh4a1
172	ENSMUSG00000097377	Gm10822
173	ENSMUSG00000095768	Vmn1r111
174	ENSMUSG00000046650	Olfr1440
175	ENSMUSG00000097235	Gm17250
176	ENSMUSG00000040963	Asgr2
177	ENSMUSG00000021342	Prl
178	ENSMUSG00000055820	Olfr967
179	ENSMUSG00000097837	Gm26794
180	ENSMUSG00000080819	Gm2005
181	ENSMUSG00000095275	Vmn1r107
182	ENSMUSG00000096436	Olfr1437
183	ENSMUSG00000059874	Olfr603
184	ENSMUSG00000037816	Fbxw17
185	ENSMUSG00000097857	Gm26603
186	ENSMUSG00000055228	Zfp935
187	ENSMUSG00000045160	Bola3
188	ENSMUSG00000083060	Gm14533
189	ENSMUSG00000061200	Olfr601
190	ENSMUSG00000067513	Olfr1436
191	ENSMUSG00000097052	Snhg7
192	ENSMUSG00000094353	Olfr150
193	ENSMUSG00000094942	Gm3604
194	ENSMUSG00000079657	Rab26
195	ENSMUSG00000025453	Nnt
196	ENSMUSG00000045540	Olfr600
197	ENSMUSG00000095640	Olfr1433
198	ENSMUSG00000095837	Gm4141
199	ENSMUSG00000054763	Defb42
200	ENSMUSG00000045835	Hdgfl1
201	ENSMUSG00000097872	Gm26702
202	ENSMUSG00000074656	Eif2s2
203	ENSMUSG00000073950	Olfr599
204	ENSMUSG00000034416	Pkd1l2
205	ENSMUSG00000074867	Zfp808
206	ENSMUSG00000097345	AA543186
207	ENSMUSG00000036106	Prr5
208	ENSMUSG00000096761	Gm5726
209	ENSMUSG00000095839	Olfr965
210	ENSMUSG00000097774	Gm26565
211	ENSMUSG00000036661	Dennd3
212	ENSMUSG00000073951	Olfr598
213	ENSMUSG00000048076	Arf1
214	ENSMUSG00000025817	Nudt5
215	ENSMUSG00000097770	Gm26776
216	ENSMUSG00000096903	Vmn1r104
217	ENSMUSG00000080985	Gm13559
218	ENSMUSG00000019861	Gopc
219	ENSMUSG00000073952	Olfr597
220	ENSMUSG00000074870	Cts3
221	ENSMUSG00000075571	Defb30
222	ENSMUSG00000062121	Olfr149
223	ENSMUSG00000098049	Gbp11
224	ENSMUSG00000045394	Epcam
225	ENSMUSG00000096663	Vmn1r103
226	ENSMUSG00000096194	Gm2799
227	ENSMUSG00000043131	Mob1a
228	ENSMUSG00000060049	Olfr235
229	ENSMUSG00000073953	Olfr596
230	ENSMUSG00000055745	Ldoc1l
231	ENSMUSG00000078747	Gm20878
232	ENSMUSG00000094762	Gm10670
233	ENSMUSG00000093857	Gm21645
234	ENSMUSG00000064110	Olfr963
235	ENSMUSG00000003581	Rnf215
236	ENSMUSG00000067519	Olfr262
237	ENSMUSG00000086129	Gm13558
238	ENSMUSG00000086959	E330010L02Rik
239	ENSMUSG00000074871	Ctsm
240	ENSMUSG00000080951	Gm12208
241	ENSMUSG00000094545	Vmn1r101
242	ENSMUSG00000057321	Usp17ld
243	ENSMUSG00000075572	Defb43
244	ENSMUSG00000082408	Gm13545
245	ENSMUSG00000094133	Olfr1431
246	ENSMUSG00000095770	Gm21637
247	ENSMUSG00000086395	A630014C17Rik
248	ENSMUSG00000091096	Gm17304
249	ENSMUSG00000086096	Gm12688
250	ENSMUSG00000059106	Olfr961
251	ENSMUSG00000096386	Vmn1r100
252	ENSMUSG00000086995	Gm13544
253	ENSMUSG00000075573	Defb47
254	ENSMUSG00000083698	Gm12687
255	ENSMUSG00000067522	Olfr76
256	ENSMUSG00000073954	Olfr594
257	ENSMUSG00000086650	A430048G15Rik
258	ENSMUSG00000087332	Gm12690
259	ENSMUSG00000058435	Btnl4
260	ENSMUSG00000086862	Gm13546
261	ENSMUSG00000095806	Gm5728
262	ENSMUSG00000067524	Olfr1428
263	ENSMUSG00000042050	Wdr60
264	ENSMUSG00000075574	Defb48
265	ENSMUSG00000095300	Gm906
266	ENSMUSG00000083689	Gm14094
267	ENSMUSG00000073955	Olfr593
268	ENSMUSG00000053472	Gm13534
269	ENSMUSG00000048978	Nrsn1
270	ENSMUSG00000098034	Serpinb10
271	ENSMUSG00000094439	Gm21969
272	ENSMUSG00000067525	Olfr1427
273	ENSMUSG00000059867	Olfr960
274	ENSMUSG00000095745	Gm4133
275	ENSMUSG00000082940	Gm14103
276	ENSMUSG00000086859	2810008D09Rik
277	ENSMUSG00000091539	Vmn1r238
278	ENSMUSG00000073956	Olfr592
279	ENSMUSG00000064372	mt-Tp
280	ENSMUSG00000029622	Arpc1b
281	ENSMUSG00000064371	mt-Tt
282	ENSMUSG00000064370	mt-Cytb
283	ENSMUSG00000094757	Gm4498
284	ENSMUSG00000085104	Gm11731
285	ENSMUSG00000090497	Gm17611
286	ENSMUSG00000048299	Olfr148
287	ENSMUSG00000025041	Nt5c2
288	ENSMUSG00000034384	Barhl2
289	ENSMUSG00000064369	mt-Te
290	ENSMUSG00000086902	Gm11728
291	ENSMUSG00000094886	Gm10784
292	ENSMUSG00000020441	2310033P09Rik
293	ENSMUSG00000064368	mt-Nd6
294	ENSMUSG00000082464	Rab9b-ps1
295	ENSMUSG00000094298	Gm6164
296	ENSMUSG00000057461	Olfr591
297	ENSMUSG00000086920	Gm12207
298	ENSMUSG00000064367	mt-Nd5
299	ENSMUSG00000080803	Gm12683
300	ENSMUSG00000096730	Vmn2r122
301	ENSMUSG00000083175	Gm12206
302	ENSMUSG00000081150	Gm12684
303	ENSMUSG00000084141	Olfr1372-ps1
304	ENSMUSG00000056032	BC018473
305	ENSMUSG00000051362	Olfr589
306	ENSMUSG00000039483	Asb6
307	ENSMUSG00000084393	Gm14101
308	ENSMUSG00000064366	mt-Tl2
309	ENSMUSG00000093976	Gm8674
310	ENSMUSG00000087620	5330434G04Rik
311	ENSMUSG00000064365	mt-Ts2
312	ENSMUSG00000084800	Gm12205
313	ENSMUSG00000033166	Dis3
314	ENSMUSG00000044994	Olfr1426
315	ENSMUSG00000094735	Vmn1r95
316	ENSMUSG00000031444	F10
317	ENSMUSG00000064364	mt-Th
318	ENSMUSG00000003585	Sec14l2
319	ENSMUSG00000086478	Gm14102
320	ENSMUSG00000064363	mt-Nd4
321	ENSMUSG00000086493	Gm12204
322	ENSMUSG00000066268	Olfr586
323	ENSMUSG00000086575	Gm14104
324	ENSMUSG00000067526	Olfr1425
325	ENSMUSG00000083744	Gm14824
326	ENSMUSG00000061469	Gm12569
327	ENSMUSG00000094011	Vmn1r94
328	ENSMUSG00000065947	mt-Nd4l
329	ENSMUSG00000041025	Iffo2
330	ENSMUSG00000078080	Olfr585
331	ENSMUSG00000028517	Ppap2b
332	ENSMUSG00000064361	mt-Tr
333	ENSMUSG00000067528	Olfr1424
334	ENSMUSG00000028883	Sema3a
335	ENSMUSG00000082442	Gm12686
336	ENSMUSG00000064360	mt-Nd3
337	ENSMUSG00000086646	5133400J02Rik
338	ENSMUSG00000096164	Vmn1r93
